iter	Passed	Remaining
0	0	693
1	1	630
2	1	594
3	2	586
4	2	580
5	3	571
6	3	566
7	4	560
8	5	561
9	5	569
10	6	572
11	6	571
12	7	572
13	8	571
14	8	570
15	9	568
16	9	571
17	10	573
18	11	576
19	11	575
20	12	573
21	13	579
22	13	578
23	14	579
24	14	579
25	15	578
26	16	578
27	16	577
28	17	575
29	17	574
30	18	572
31	18	572
32	19	572
33	20	569
34	20	568
35	21	569
36	21	567
37	22	566
38	22	565
39	23	563
40	24	563
41	24	562
42	25	561
43	25	559
44	26	558
45	26	559
46	27	558
47	28	559
48	28	560
49	29	561
50	30	561
51	30	560
52	31	560
53	31	559
54	32	560
55	33	559
56	33	559
57	34	558
58	34	557
59	35	555
60	36	554
61	36	553
62	37	553
63	37	553
64	38	552
65	39	552
66	39	551
67	40	550
68	40	549
69	41	548
70	41	548
71	42	548
72	43	547
73	43	546
74	44	545
75	44	544
76	45	544
77	45	543
78	46	542
79	47	541
80	47	540
81	48	539
82	48	536
83	49	536
84	49	535
85	50	535
86	50	534
87	51	534
88	52	533
89	52	533
90	53	531
91	53	531
92	54	531
93	55	530
94	55	529
95	56	528
96	56	527
97	57	527
98	57	526
99	58	525
100	58	524
101	59	523
102	60	523
103	60	522
104	61	522
105	61	521
106	62	520
107	62	519
108	63	518
109	63	517
110	64	517
111	65	516
112	65	515
113	66	514
114	66	513
115	67	513
116	67	512
117	68	511
118	69	511
119	69	510
120	70	509
121	70	508
122	71	508
123	71	508
124	72	507
125	73	507
126	73	506
127	74	506
128	74	505
129	75	504
130	76	504
131	76	503
132	77	502
133	77	502
134	78	501
135	78	500
136	79	499
137	79	498
138	80	497
139	80	496
140	81	496
141	81	494
142	82	494
143	82	493
144	83	492
145	84	491
146	84	491
147	85	490
148	85	490
149	86	489
150	87	489
151	87	488
152	88	488
153	88	487
154	89	486
155	89	485
156	90	484
157	90	484
158	91	483
159	91	482
160	92	480
161	92	480
162	93	479
163	93	478
164	94	478
165	95	477
166	95	476
167	96	476
168	96	475
169	97	474
170	97	473
171	98	473
172	98	472
173	99	472
174	100	472
175	100	471
176	101	470
177	101	470
178	102	469
179	102	468
180	103	467
181	103	467
182	104	466
183	105	466
184	105	465
185	106	464
186	106	464
187	107	463
188	107	462
189	108	461
190	108	461
191	109	461
192	110	460
193	110	460
194	111	459
195	111	458
196	112	458
197	112	457
198	113	456
199	114	456
200	114	456
201	115	455
202	115	455
203	116	454
204	117	454
205	117	453
206	118	452
207	118	452
208	119	451
209	119	450
210	120	450
211	120	449
212	121	449
213	122	448
214	122	447
215	123	447
216	123	446
217	124	445
218	124	444
219	125	443
220	126	445
221	127	445
222	127	444
223	128	443
224	128	443
225	129	442
226	129	441
227	130	440
228	130	439
229	131	439
230	131	438
231	132	437
232	132	437
233	133	436
234	133	435
235	134	435
236	134	434
237	135	433
238	135	432
239	136	431
240	136	431
241	137	430
242	138	430
243	138	429
244	139	428
245	139	428
246	140	427
247	140	426
248	141	426
249	142	426
250	142	426
251	143	425
252	144	425
253	144	424
254	145	424
255	145	423
256	146	423
257	147	422
258	147	422
259	148	421
260	148	421
261	149	420
262	149	419
263	150	419
264	150	418
265	151	417
266	151	416
267	152	416
268	153	415
269	153	415
270	154	414
271	154	414
272	155	413
273	155	413
274	156	412
275	157	412
276	157	411
277	158	410
278	158	410
279	159	409
280	159	409
281	160	408
282	161	408
283	161	407
284	162	406
285	162	405
286	163	405
287	163	404
288	164	404
289	164	403
290	165	403
291	165	402
292	166	401
293	166	401
294	167	400
295	168	399
296	168	399
297	169	399
298	170	398
299	170	398
300	171	397
301	171	396
302	172	396
303	172	395
304	173	394
305	173	394
306	174	393
307	174	392
308	175	392
309	176	391
310	176	391
311	177	390
312	177	389
313	178	389
314	178	388
315	179	387
316	179	387
317	180	386
318	180	386
319	181	385
320	182	385
321	182	384
322	183	383
323	183	383
324	184	382
325	184	381
326	185	381
327	185	380
328	186	380
329	187	379
330	187	379
331	188	378
332	188	377
333	189	377
334	189	376
335	190	375
336	190	375
337	191	374
338	191	374
339	192	373
340	193	373
341	193	372
342	194	372
343	194	371
344	195	370
345	195	370
346	196	369
347	197	369
348	197	368
349	198	368
350	198	367
351	199	366
352	199	366
353	200	365
354	200	364
355	201	364
356	201	363
357	202	363
358	203	362
359	203	362
360	204	361
361	204	361
362	205	360
363	205	359
364	206	359
365	206	358
366	207	357
367	208	357
368	208	357
369	209	356
370	209	355
371	210	355
372	210	354
373	211	353
374	212	353
375	212	352
376	213	352
377	213	351
378	214	351
379	214	350
380	215	349
381	215	349
382	216	348
383	216	347
384	217	347
385	217	346
386	218	345
387	219	345
388	219	344
389	220	344
390	220	343
391	221	343
392	221	342
393	222	341
394	222	341
395	223	340
396	223	339
397	224	339
398	224	338
399	225	338
400	226	337
401	226	337
402	227	336
403	227	335
404	228	335
405	228	334
406	229	333
407	229	333
408	230	333
409	231	332
410	231	331
411	232	331
412	232	330
413	233	330
